src2dst_mean_piat_ms,dst2src_mean_piat_ms,src2dst_mean_ps,dst2src_mean_ps,src2dst_stddev_piat_ms,dst2src_stddev_piat_ms,src2dst_stddev_ps,dst2src_stddev_ps,src2dst_packets,dst2src_packets,src2dst_bytes,dst2src_bytes,src_port,dst_port,protocol,stream_type
17.69415205,43.52906977,1236.247808,113.8693759,81.27094965,122.136258,249.2756582,125.1358114,1711,689,2115220,78456,443,60018,17,0
23.3547619,8.36332671,107.3862014,1261.272985,101.4340715,60.64308253,105.3316641,186.8763333,1261,3524,135414,4444726,59497,443,17,0
41.17481481,5.00433213,103.0473373,1288.726945,510.8314764,181.2847572,85.27133586,61.00473715,676,5541,69660,7140836,50581,443,17,0
13.71314286,125.4285714,1281.583778,104.6979167,380.1099553,1101.581397,109.4316713,157.7451382,2626,288,3365439,30153,443,54321,17,1
164.6713287,0,79.85416667,0,684.1141571,0,1.462676682,0,144,0,11499,0,5353,5353,17,1
56.59851301,6.119565217,85.65925926,1286.925151,624.0065078,206.8316145,97.79834065,75.25764677,270,2485,23128,3198009,55013,443,17,1
33.49776786,3.953610965,100.6971047,1286.137813,419.1540164,146.2686366,162.5468806,80.95544849,449,3795,45213,4880893,49365,443,17,1
43.78974359,4.703710645,90.75767918,1287.389919,588.4240404,196.0429914,117.3703729,71.72128397,586,5337,53184,6870800,49859,443,17,1
55.76635514,6.532182964,84.34498834,1286.525465,720.3004165,247.3936251,91.00239986,78.43906272,429,3652,36184,4698391,50181,443,17,1
58.17251462,6.165114836,83.80466472,1287.45951,950.7300588,310.2049488,89.05622629,72.82839209,343,3223,28745,4149482,64673,443,17,1
55.16605166,5.875098503,91.20220588,1282.684521,570.0721901,187.5451935,114.9103915,103.6377889,272,2539,24807,3256736,60340,443,17,1
66.11891892,6.846326416,85.44623656,1286.261771,858.6699377,277.8133168,98.00452175,81.13002641,186,1784,15893,2294691,55240,443,17,1
72.84285714,8.283970708,88.24911032,1285.586824,814.8256385,275.8857772,107.9983889,84.71236503,281,2459,24798,3161258,59324,443,17,1
16.8164557,2.530425963,114.327044,1286.388045,30.69945509,12.48534521,138.2771248,74.60768508,159,987,18178,1269665,65325,443,17,1
39.98648649,11.83544304,124.6,1252.764706,247.7743944,140.4409307,164.8918565,205.2241218,75,238,9345,298158,60794,443,17,1
3.006599514,26.73353909,1287.44721,106.705036,105.6749895,302.946036,70.95051366,103.882087,8638,973,11120969,103824,443,57636,17,1
26.39761905,2.929524826,102.7387173,1286.324793,339.6415231,117.2918073,83.7522318,80.9204716,421,3747,43253,4819859,53279,443,17,1
19.53016143,2.187536009,105.1740238,1287.771099,341.4764725,116.2863062,87.99323816,69.4643269,1178,10415,123895,13412136,53279,443,17,1
54.50458716,6.210307132,109.6636156,1282.690867,569.8072007,195.6502387,117.3125046,103.4194302,437,3843,47923,4929381,58064,443,17,1
17.94130926,4.95444144,63.56090226,1465.680532,334.859188,177.4874152,89.60996316,69.64517533,1330,4808,84536,7046992,60031,443,6,1
27.66054054,7.501614323,62.03347732,1460.777289,539.0651052,282.4461088,95.61422467,99.64365915,926,3408,57443,4978329,60051,443,6,1
15.56258693,5.422367783,72.22029187,1462.570216,324.9201731,193.5679524,86.74162378,91.90141494,1439,4123,103925,6030177,60094,443,6,1
10.33408451,3.459607399,58.49099099,1455.852991,247.5385806,144.16717,69.90185416,78.60130924,1776,5299,103880,7714565,60106,443,6,1
14.99801849,5.057760928,59.07854785,1464.192865,358.5901406,209.1093378,75.36102299,79.607075,1515,4485,89504,6566905,60129,443,6,1
16.13248204,4.610781179,61.46411483,1465.12971,310.2325187,166.8250708,92.20535517,75.82220301,1254,4379,77076,6415803,60144,443,6,1
17.79130435,5.536144578,69.67471042,1462.013851,377.0765214,211.3282872,90.98055946,97.37225391,1036,3321,72183,4855348,60165,443,6,1
9.035822913,3.675887696,67.28783784,1464.793863,238.4003784,153.0522529,72.00214681,78.22863018,2960,7267,199172,10644657,60185,443,6,1
14.09631019,3.86910093,61.23625,1461.472878,306.9028469,161.8882243,89.95996155,97.87135528,1600,5807,97978,8486773,60204,443,6,1
58.76045627,0.46057047,110.2007576,1285.994549,325.0673442,4.95494995,174.4113005,82.49158216,264,2385,29093,3067097,58233,443,17,1
251.4247788,195.84,608.754386,651.6111111,892.2284181,790.7993649,574.8183024,588.2656131,114,126,69398,82103,55868,443,17,1
11.26,8.844091904,97.64541833,1284.267906,20.82959163,186.2669491,148.2312173,93.34707572,251,1829,24509,2348926,65515,443,17,1
11.04243119,84.09606987,1278.976504,132.073913,264.3889857,469.2233126,122.2384824,221.3824147,1745,230,2231814,30377,443,51365,17,1
40.80215827,4.460327198,92.69479354,1287.946432,405.826005,141.9628586,126.0928637,67.56528308,557,4891,51631,6299346,52294,443,17,1
46.69029275808938,7.083843617522378,86.05692307692294,1269.0009418412983,142.34866747157372,66.46259724055687,96.11623752168693,163.30031949366784,650.0,4247.0,55937.0,5389447.0,61184.0,443.0,17.0,0.0
26.263313609467456,2.4179487179487182,119.36578171091446,1270.7107286708158,104.64456677891336,27.970945773128957,191.50468224742156,154.53697291718424,339.0,2731.0,40465.0,3470311.0,53934.0,443.0,17.0,0.0
65.8766816143498,9.28928232690482,86.83892617449666,1263.379582806575,221.05710390161204,86.03549843731383,99.41734294260776,181.8995608674512,447.0,3164.0,38817.0,3997333.0,63624.0,443.0,17.0,0.0
